# cycle i_ni i_router o_ni o_router vnet flit
129 4 4 24 0 0 8
137 12 12 27 3 0 8
137 3 3 33 9 0 8
137 3 3 41 17 1 8
137 9 9 41 17 0 8
137 17 17 29 5 0 8
137 17 17 34 10 1 8
137 5 5 34 10 0 8
137 10 10 44 20 0 8
137 10 10 43 19 1 8
137 19 19 40 16 0 8
137 16 16 26 2 0 8
137 16 16 37 13 1 8
137 16 16 25 1 1 8
137 20 20 40 16 0 8
137 2 2 40 16 0 8
137 13 13 35 11 0 8
137 11 11 32 8 0 8
137 8 8 39 15 0 8
137 8 8 31 7 1 8
137 8 8 30 6 1 8
137 1 1 32 8 0 8
137 15 15 32 8 0 8
137 7 7 38 14 0 8
137 14 14 28 4 0 8
137 14 14 24 0 1 8
137 6 6 38 14 0 8
137 4 4 24 0 0 8
145 12 12 27 3 0 8
145 3 3 33 9 0 8
145 3 3 41 17 1 8
145 9 9 41 17 0 8
145 17 17 29 5 0 8
145 17 17 34 10 1 8
145 5 5 34 10 0 8
145 10 10 44 20 0 8
145 10 10 43 19 1 8
145 19 19 40 16 0 8
145 16 16 26 2 0 8
145 16 16 37 13 1 8
145 16 16 25 1 1 8
145 20 20 40 16 0 8
145 2 2 40 16 0 8
145 13 13 35 11 0 8
145 11 11 32 8 0 8
145 8 8 39 15 0 8
145 8 8 31 7 1 8
145 8 8 30 6 1 8
145 1 1 32 8 0 8
145 15 15 32 8 0 8
145 7 7 38 14 0 8
145 14 14 28 4 0 8
145 14 14 24 0 1 8
145 6 6 38 14 0 8
145 4 4 24 0 0 8
153 12 12 27 3 0 8
153 3 3 33 9 0 8
153 3 3 41 17 1 8
153 9 9 41 17 0 8
153 17 17 29 5 0 8
153 17 17 34 10 1 8
153 5 5 34 10 0 8
153 10 10 44 20 0 8
153 10 10 43 19 1 8
153 19 19 40 16 0 8
153 16 16 26 2 0 8
153 16 16 37 13 1 8
153 16 16 25 1 1 8
153 20 20 40 16 0 8
153 2 2 40 16 0 8
153 13 13 35 11 0 8
153 11 11 32 8 0 8
153 8 8 39 15 0 8
153 8 8 31 7 1 8
153 8 8 30 6 1 8
153 1 1 32 8 0 8
153 15 15 32 8 0 8
153 7 7 38 14 0 8
153 14 14 28 4 0 8
153 14 14 24 0 1 8
153 6 6 38 14 0 8
153 4 4 24 0 0 8
161 12 12 27 3 0 8
161 3 3 33 9 0 8
161 3 3 41 17 1 8
161 9 9 41 17 0 8
161 17 17 29 5 0 8
161 17 17 34 10 1 8
161 5 5 34 10 0 8
161 10 10 44 20 0 8
161 10 10 43 19 1 8
161 19 19 40 16 0 8
161 16 16 26 2 0 8
161 16 16 37 13 1 8
161 16 16 25 1 1 8
161 20 20 40 16 0 8
161 2 2 40 16 0 8
161 13 13 35 11 0 8
161 11 11 32 8 0 8
161 8 8 39 15 0 8
161 8 8 31 7 1 8
161 8 8 30 6 1 8
161 1 1 32 8 0 8
161 15 15 32 8 0 8
161 7 7 38 14 0 8
161 14 14 28 4 0 8
161 14 14 24 0 1 8
161 6 6 38 14 0 8
161 4 4 24 0 0 8
169 12 12 27 3 0 8
169 3 3 33 9 0 8
169 3 3 41 17 1 8
169 9 9 41 17 0 8
169 17 17 29 5 0 8
169 17 17 34 10 1 8
169 5 5 34 10 0 8
169 10 10 44 20 0 8
169 10 10 43 19 1 8
169 19 19 40 16 0 8
169 16 16 26 2 0 8
169 16 16 37 13 1 8
169 16 16 25 1 1 8
169 20 20 40 16 0 8
169 2 2 40 16 0 8
169 13 13 35 11 0 8
169 11 11 32 8 0 8
169 8 8 39 15 0 8
169 8 8 31 7 1 8
169 8 8 30 6 1 8
169 1 1 32 8 0 8
169 15 15 32 8 0 8
169 7 7 38 14 0 8
169 14 14 28 4 0 8
169 14 14 24 0 1 8
169 6 6 38 14 0 8
169 4 4 24 0 0 8
177 12 12 27 3 0 8
177 3 3 33 9 0 8
177 3 3 41 17 1 8
177 9 9 41 17 0 8
177 17 17 29 5 0 8
177 17 17 34 10 1 8
177 5 5 34 10 0 8
177 10 10 44 20 0 8
177 10 10 43 19 1 8
177 19 19 40 16 0 8
177 16 16 26 2 0 8
177 16 16 37 13 1 8
177 16 16 25 1 1 8
177 20 20 40 16 0 8
177 2 2 40 16 0 8
177 13 13 35 11 0 8
177 11 11 32 8 0 8
177 8 8 39 15 0 8
177 8 8 31 7 1 8
177 8 8 30 6 1 8
177 1 1 32 8 0 8
177 15 15 32 8 0 8
177 7 7 38 14 0 8
177 14 14 28 4 0 8
177 14 14 24 0 1 8
177 6 6 38 14 0 8
177 4 4 24 0 0 8
185 12 12 27 3 0 8
185 3 3 33 9 0 8
185 3 3 41 17 1 8
185 9 9 41 17 0 8
185 17 17 29 5 0 8
185 17 17 34 10 1 8
185 5 5 34 10 0 8
185 10 10 44 20 0 8
185 10 10 43 19 1 8
185 19 19 40 16 0 8
185 16 16 26 2 0 8
185 16 16 37 13 1 8
185 16 16 25 1 1 8
185 20 20 40 16 0 8
185 2 2 40 16 0 8
185 13 13 35 11 0 8
185 11 11 32 8 0 8
185 8 8 39 15 0 8
185 8 8 31 7 1 8
185 8 8 30 6 1 8
185 1 1 32 8 0 8
185 15 15 32 8 0 8
185 7 7 38 14 0 8
185 14 14 28 4 0 8
185 14 14 24 0 1 8
185 6 6 38 14 0 8
185 4 4 24 0 0 8
193 12 12 27 3 0 8
193 3 3 33 9 0 8
193 3 3 41 17 1 8
193 9 9 41 17 0 8
193 17 17 29 5 0 8
193 17 17 34 10 1 8
