# cycle i_ni i_router o_ni o_router vnet flit
129 17 17 20 2 0 8
129 8 8 33 15 0 8
129 8 8 30 12 1 8
129 12 12 33 15 0 8
129 15 15 19 1 0 8
129 15 15 19 1 1 8
129 1 1 25 7 0 8
129 7 7 28 10 0 8
129 7 7 28 10 1 8
129 10 10 21 3 0 8
129 10 10 29 11 1 8
129 3 3 29 11 0 8
137 13 13 18 0 0 8
137 13 13 24 6 1 8
137 0 0 24 6 0 8
137 6 6 23 5 0 8
137 6 6 34 16 1 8
137 16 16 23 5 0 8
137 5 5 27 9 0 8
137 9 9 20 2 0 8
137 9 9 32 14 1 8
137 14 14 20 2 0 8
137 2 2 35 17 0 8
137 2 2 26 8 1 8
137 17 17 20 2 0 8
137 8 8 33 15 0 8
137 8 8 30 12 1 8
137 12 12 33 15 0 8
137 15 15 19 1 0 8
137 15 15 19 1 1 8
137 1 1 25 7 0 8
137 7 7 28 10 0 8
137 7 7 28 10 1 8
137 10 10 21 3 0 8
137 10 10 29 11 1 8
137 3 3 29 11 0 8
145 13 13 18 0 0 8
145 13 13 24 6 1 8
145 0 0 24 6 0 8
145 6 6 23 5 0 8
145 6 6 34 16 1 8
145 16 16 23 5 0 8
145 5 5 27 9 0 8
145 9 9 20 2 0 8
145 9 9 32 14 1 8
145 14 14 20 2 0 8
145 2 2 35 17 0 8
145 2 2 26 8 1 8
145 17 17 20 2 0 8
145 8 8 33 15 0 8
145 8 8 30 12 1 8
145 12 12 33 15 0 8
145 15 15 19 1 0 8
145 15 15 19 1 1 8
145 1 1 25 7 0 8
145 7 7 28 10 0 8
145 7 7 28 10 1 8
145 10 10 21 3 0 8
145 10 10 29 11 1 8
145 3 3 29 11 0 8
153 13 13 18 0 0 8
153 13 13 24 6 1 8
153 0 0 24 6 0 8
153 6 6 23 5 0 8
153 6 6 34 16 1 8
153 16 16 23 5 0 8
153 5 5 27 9 0 8
153 9 9 20 2 0 8
153 9 9 32 14 1 8
153 14 14 20 2 0 8
153 2 2 35 17 0 8
153 2 2 26 8 1 8
153 17 17 20 2 0 8
153 8 8 33 15 0 8
153 8 8 30 12 1 8
153 12 12 33 15 0 8
153 15 15 19 1 0 8
153 15 15 19 1 1 8
153 1 1 25 7 0 8
153 7 7 28 10 0 8
153 7 7 28 10 1 8
153 10 10 21 3 0 8
153 10 10 29 11 1 8
153 3 3 29 11 0 8
161 13 13 18 0 0 8
161 13 13 24 6 1 8
161 0 0 24 6 0 8
161 6 6 23 5 0 8
161 6 6 34 16 1 8
161 16 16 23 5 0 8
161 5 5 27 9 0 8
161 9 9 20 2 0 8
161 9 9 32 14 1 8
161 14 14 20 2 0 8
161 2 2 35 17 0 8
161 2 2 26 8 1 8
161 17 17 20 2 0 8
161 8 8 33 15 0 8
161 8 8 30 12 1 8
161 12 12 33 15 0 8
161 15 15 19 1 0 8
161 15 15 19 1 1 8
161 1 1 25 7 0 8
161 7 7 28 10 0 8
161 7 7 28 10 1 8
161 10 10 21 3 0 8
161 10 10 29 11 1 8
161 3 3 29 11 0 8
169 13 13 18 0 0 8
169 13 13 24 6 1 8
169 0 0 24 6 0 8
169 6 6 23 5 0 8
169 6 6 34 16 1 8
169 16 16 23 5 0 8
169 5 5 27 9 0 8
169 9 9 20 2 0 8
169 9 9 32 14 1 8
169 14 14 20 2 0 8
169 2 2 35 17 0 8
169 2 2 26 8 1 8
169 17 17 20 2 0 8
169 8 8 33 15 0 8
169 8 8 30 12 1 8
169 12 12 33 15 0 8
169 15 15 19 1 0 8
169 15 15 19 1 1 8
169 1 1 25 7 0 8
169 7 7 28 10 0 8
169 7 7 28 10 1 8
169 10 10 21 3 0 8
169 10 10 29 11 1 8
169 3 3 29 11 0 8
177 13 13 18 0 0 8
177 13 13 24 6 1 8
177 0 0 24 6 0 8
177 6 6 23 5 0 8
177 6 6 34 16 1 8
177 16 16 23 5 0 8
177 5 5 27 9 0 8
177 9 9 20 2 0 8
177 9 9 32 14 1 8
177 14 14 20 2 0 8
177 2 2 35 17 0 8
177 2 2 26 8 1 8
177 17 17 20 2 0 8
177 8 8 33 15 0 8
177 8 8 30 12 1 8
177 12 12 33 15 0 8
177 15 15 19 1 0 8
177 15 15 19 1 1 8
177 1 1 25 7 0 8
177 7 7 28 10 0 8
177 7 7 28 10 1 8
177 10 10 21 3 0 8
177 10 10 29 11 1 8
177 3 3 29 11 0 8
185 13 13 18 0 0 8
185 13 13 24 6 1 8
185 0 0 24 6 0 8
185 6 6 23 5 0 8
185 6 6 34 16 1 8
185 16 16 23 5 0 8
185 5 5 27 9 0 8
185 9 9 20 2 0 8
185 9 9 32 14 1 8
185 14 14 20 2 0 8
185 2 2 35 17 0 8
185 2 2 26 8 1 8
