# cycle i_ni i_router o_ni o_router vnet flit
489 5 5 21 3 0 8
489 3 3 24 6 0 8
497 13 13 35 17 0 8
497 17 17 25 7 0 8
497 7 7 33 15 0 8
497 15 15 34 16 0 8
497 16 16 22 4 0 8
497 4 4 19 1 0 8
497 1 1 29 11 0 8
497 11 11 28 10 0 8
497 10 10 23 5 0 8
497 5 5 21 3 0 8
497 3 3 24 6 0 8
505 13 13 35 17 0 8
505 17 17 25 7 0 8
505 7 7 33 15 0 8
505 15 15 34 16 0 8
505 16 16 22 4 0 8
505 4 4 19 1 0 8
505 1 1 29 11 0 8
505 11 11 28 10 0 8
505 10 10 23 5 0 8
505 5 5 21 3 0 8
505 3 3 24 6 0 8
513 13 13 35 17 0 8
513 17 17 25 7 0 8
513 7 7 33 15 0 8
513 15 15 34 16 0 8
513 16 16 22 4 0 8
513 4 4 19 1 0 8
513 1 1 29 11 0 8
521 13 13 35 17 0 8
521 17 17 25 7 0 8
521 7 7 33 15 0 8
521 15 15 34 16 0 8
521 16 16 22 4 0 8
521 4 4 19 1 0 8
521 1 1 29 11 0 8
529 13 13 35 17 0 8
529 17 17 25 7 0 8
529 7 7 33 15 0 8
529 15 15 34 16 0 8
529 16 16 22 4 0 8
529 4 4 19 1 0 8
529 1 1 29 11 0 8
537 13 13 35 17 0 8
537 17 17 25 7 0 8
537 7 7 33 15 0 8
537 15 15 34 16 0 8
537 16 16 22 4 0 8
537 4 4 19 1 0 8
537 1 1 29 11 0 8
545 13 13 35 17 0 8
545 17 17 25 7 0 8
545 7 7 33 15 0 8
545 15 15 34 16 0 8
545 16 16 22 4 0 8
545 4 4 19 1 0 8
545 1 1 29 11 0 8
553 13 13 35 17 0 8
553 17 17 25 7 0 8
553 7 7 33 15 0 8
553 15 15 34 16 0 8
553 16 16 22 4 0 8
553 4 4 19 1 0 8
553 1 1 29 11 0 8
561 13 13 35 17 0 8
561 17 17 25 7 0 8
561 7 7 33 15 0 8
561 15 15 34 16 0 8
561 16 16 22 4 0 8
561 4 4 19 1 0 8
561 1 1 29 11 0 8
569 13 13 35 17 0 8
569 17 17 25 7 0 8
569 7 7 33 15 0 8
569 15 15 34 16 0 8
569 16 16 22 4 0 8
569 4 4 19 1 0 8
569 1 1 29 11 0 8
577 13 13 35 17 0 8
577 17 17 25 7 0 8
577 7 7 33 15 0 8
577 15 15 34 16 0 8
577 16 16 22 4 0 8
577 4 4 19 1 0 8
577 1 1 29 11 0 8
585 13 13 35 17 0 8
585 17 17 25 7 0 8
585 7 7 33 15 0 8
585 15 15 34 16 0 8
585 16 16 22 4 0 8
585 4 4 19 1 0 8
585 1 1 29 11 0 8
593 13 13 35 17 0 8
593 17 17 25 7 0 8
593 7 7 33 15 0 8
593 15 15 34 16 0 8
593 16 16 22 4 0 8
593 4 4 19 1 0 8
593 1 1 29 11 0 8
601 13 13 35 17 0 8
601 17 17 25 7 0 8
601 7 7 33 15 0 8
601 15 15 34 16 0 8
601 16 16 22 4 0 8
601 4 4 19 1 0 8
601 1 1 29 11 0 8
609 13 13 35 17 0 8
609 17 17 25 7 0 8
609 7 7 33 15 0 8
609 15 15 34 16 0 8
609 16 16 22 4 0 8
609 4 4 19 1 0 8
609 1 1 29 11 0 8
617 13 13 35 17 0 8
617 17 17 25 7 0 8
617 7 7 33 15 0 8
617 15 15 34 16 0 8
617 16 16 22 4 0 8
617 4 4 19 1 0 8
617 1 1 29 11 0 8
625 13 13 35 17 0 8
625 17 17 25 7 0 8
625 7 7 33 15 0 8
625 15 15 34 16 0 8
625 16 16 22 4 0 8
625 4 4 19 1 0 8
625 1 1 29 11 0 8
633 13 13 35 17 0 8
633 17 17 25 7 0 8
633 7 7 33 15 0 8
633 15 15 34 16 0 8
633 16 16 22 4 0 8
633 4 4 19 1 0 8
633 1 1 29 11 0 8
641 13 13 35 17 0 8
641 17 17 25 7 0 8
641 7 7 33 15 0 8
641 15 15 34 16 0 8
641 16 16 22 4 0 8
641 4 4 19 1 0 8
641 1 1 29 11 0 8
649 13 13 35 17 0 8
649 17 17 25 7 0 8
