# cycle i_ni i_router o_ni o_router vnet flit
33 59 59 226 106 0 8
33 106 106 233 113 0 8
33 106 106 156 36 1 8
33 113 113 205 85 0 8
33 85 85 156 36 0 8
33 36 36 199 79 0 8
33 36 36 199 79 1 8
33 79 79 207 87 0 8
33 79 79 130 10 1 8
33 87 87 130 10 0 8
33 10 10 146 26 0 8
33 10 10 143 23 1 8
33 26 26 137 17 0 8
33 17 17 143 23 0 8
33 23 23 222 102 0 8
33 23 23 222 102 1 8
33 102 102 177 57 0 8
33 57 57 164 44 0 8
33 44 44 153 33 0 8
33 44 44 153 33 1 8
33 33 33 187 67 0 8
33 33 33 204 84 1 8
33 67 67 204 84 0 8
33 84 84 152 32 0 8
33 84 84 229 109 1 8
33 84 84 168 48 1 8
33 32 32 194 74 0 8
33 74 74 204 84 0 8
33 109 109 184 64 0 8
33 64 64 168 48 0 8
33 48 48 132 12 0 8
33 48 48 123 3 1 8
33 48 48 129 9 1 8
33 48 48 189 69 1 8
33 12 12 168 48 0 8
33 3 3 159 39 0 8
33 39 39 168 48 0 8
33 9 9 189 69 0 8
33 69 69 182 62 0 8
33 69 69 145 25 1 8
33 25 25 182 62 0 8
33 62 62 124 4 0 8
33 62 62 140 20 1 8
33 62 62 141 21 1 8
33 62 62 200 80 1 8
33 4 4 206 86 0 8
33 86 86 182 62 0 8
33 20 20 134 14 0 8
33 14 14 182 62 0 8
33 80 80 141 21 0 8
33 21 21 215 95 0 8
33 21 21 238 118 1 8
33 21 21 181 61 1 8
33 95 95 234 114 0 8
33 114 114 141 21 0 8
33 118 118 147 27 0 8
33 27 27 181 61 0 8
33 61 61 210 90 0 8
33 61 61 210 90 1 8
33 90 90 195 75 0 8
33 90 90 212 92 1 8
33 90 90 235 115 1 8
33 75 75 125 5 0 8
33 5 5 210 90 0 8
33 92 92 235 115 0 8
33 115 115 127 7 0 8
33 115 115 223 103 1 8
33 7 7 223 103 0 8
33 103 103 219 99 0 8
33 103 103 149 29 1 8
33 99 99 149 29 0 8
33 29 29 157 37 0 8
33 29 29 221 101 1 8
33 101 101 157 37 0 8
33 37 37 213 93 0 8
